release_date,peak,artist,track,label
Jan 4,7,Tyrese,How You Gonna Act Like That,J Album Cut
Jan 4,20,t.A.T.u.,All The Things She Said,Interscope 019354
Jan 4,25,Gary Allan,Man To Man,MCA Nashville Album Cut
Jan 4,28,Smilez &amp; Southstar,Tell Me (What’s Goin’ On),ArtistDirect Album Cut
Jan 4,35,JC Chasez,Blowin’ Me Up (With Her Love),Fox 40070
Jan 11,1,50 Cent,In Da Club,Shady 497856
Jan 11,11,Wayne Wonder,No Letting Go,Greensleeves / VP / Atlantic / 6402
Jan 11,57,Brad Paisley,I Wish You’d Stay,Arista Nashville Album Cut
Jan 11,83,Trina Featuring Ludacris,B R Right,Slip-N-Slide 85395
Jan 18,76,Jennifer Hanson,Beautiful Goodbye,Capitol 77816
Jan 25,27,Joe Nichols,Brokenheartsville,Universal South Album Cut
Jan 25,66,Lonestar,Unusually Unusual,BNA Album Cut
Jan 25,85,Angie Martinez Featuring Kelis,Take You Home,Elektra 67351
Feb 1,15,Eminem,Superman,Aftermath Album Cut
Feb 1,20,Amanda Perez,Angel,Virgin 47265
Feb 1,25,"Dixie Chicks, The",Travelin’ Soldier,Monument Album Cut
Feb 1,29,Coldplay,Clocks,Capitol Album Cut
Feb 1,63,Shania Twain,Up!,Mercury Album Cut
Feb 1,76,Phil Collins,Can’t Stop Loving You,Atlantic Album Cut
Feb 8,6,Snoop Dogg Featuring Pharrell &amp; Uncle Charlie Wilson,Beautiful,Doggystyle 77887
Feb 8,17,Lil’ Kim Featuring Mr. Cheeks,The Jump Off,Queen Bee 88036
Feb 8,29,Alan Jackson,That’d Be Alright,Arista Nashville Album Cut
Feb 8,57,Red Hot Chili Peppers,Can’t Stop,Warner Bros. Album Cut
Feb 8,60,DMX,X Gon’ Give It To Ya,Bloodline/Def Jam 163776
Feb 8,97,Freeway Featuring Jay-Z &amp; Beanie Sigel,What We Do,Roc-A-Fella/Def Jam 063846
Feb 15,8,Jay-Z,Excuse Me Miss,Roc-A-Fella 063717
Feb 15,39,Vivian Green,Emotional Rollercoaster,Columbia 79858
Feb 15,45,Baby Featuring Clipse,What Happened To That Boy,Cash Money Album Cut
Feb 15,45,Celine Dion,I Drove All Night,Epic 79931
Feb 15,51,Simple Plan,I’d Do Anything,Lava Album Cut
Feb 15,60,Killer Mike Featuring Big Boi,A.D.I.D.A.S.,Aquemini Album Cut
Feb 15,86,Fat Joe Featuring Tony Sunshine &amp; Armageddon,All I Need,Terror Squad 88013
Feb 15,86,Clipse Featuring Faith Evans,"Ma, I Don’t Love Her",Star Trak 15223
Feb 22,1,Sean Paul,Get Busy,VP / Atlantic 88020
Feb 22,17,Ginuwine Featuring Baby,Hell Yeah,Epic 79870
