release_date,peak,artist,track,label
Jan 7,58,Relient K,Who I Am Hates Who I’ve Been,Gotee/Capitol
Jan 7,77,Young Jeezy,My Hood,Def Jam 005117
Jan 7,87,Gorillaz Featuring Shaun Ryder,Dare,Parlophone/Virgin
Jan 14,84,My Chemical Romance,The Ghost Of You,Reprise Digital
Jan 21,1,Sean Paul,Temperature,VP 94133 (Atlantic)
Jan 21,7,Dem Franchize Boyz Featuring Lil Peanut &amp; Charlay,"Lean Wit It, Rock Wit It",So So Def 50656
Jan 21,12,Kelly Clarkson,Walk Away,RCA Digital
Jan 21,47,Toby Keith,Get Drunk And Be Somebody,Show Dog Nashville
Jan 21,48,Rob Thomas,Ever The Same,Melisma (Atlantic)
Jan 28,23,Bon Jovi,Who Says You Can’t Go Home,Island Digital
Jan 28,26,Gavin DeGraw,We Belong Together,J Records Digital
Jan 28,38,Jack Johnson,Upside Down,Brushfire Digital
Jan 28,48,Kenny Chesney,Living In Fast Forward,BNA Digital
Jan 28,56,Juelz Santana,Oh Yes (aka ‘Postman’),Def Jam 006062
Jan 28,60,Blake Shelton,Nobody But Me,Warner Bros. Digital
Jan 28,69,Sara Evans,Cheatin’,RCA Nashville Digital
Feb 4,4,Zac Efron &amp; Vanessa Anne Hudgens,Breaking Free,Walt Disney Digital
Feb 4,7,Bubba Sparxxx Featuring Ying Yang Twins &amp; Mr. ColliPark,Ms. New Booty,Virgin 50658
Feb 4,13,"Pussycat Dolls, The Featuring will.i.am",Beep,A&amp;M Digital
Feb 4,19,Keyshia Cole,Love,A&amp;M Digital
Feb 4,23,Zac Efron,Get’cha Head In The Game,Walt Disney Digital
Feb 4,28,Matisyahu,King Without A Crown,JDub Digital (Epic)
Feb 4,50,Yellowcard,Lights And Sound,Capitol Digital
Feb 11,15,"All-American Rejects, The",Move Along,Doghouse Digital
Feb 11,28,Zac Efron &amp; Vanessa Anne Hudgens,Start Of Something New,Walt Disney Digital
Feb 11,34,High School Musical Cast,We’re All In This Together,Walt Disney Digital
Feb 11,35,Lucas Gabreel &amp; Ashley Tisdale,What I’ve Been Looking For,Walt Disney Digital
Feb 11,43,High School Musical Cast,Stick To The Status Quo,Walt Disney Digital
Feb 11,48,P.O.D.,Goodbye For Now,Atlantic Digital
Feb 11,49,Gwen Stefani,Crash,Interscope Digital
Feb 11,62,Lucas Gabreel &amp; Ashley Tisdale,Bop To The Top,Walt Disney Digital
Feb 11,67,Zac Efron &amp; Vanessa Anne Hudgens,What I’ve Been Looking For (Reprise),Walt Disney Digital
Feb 11,72,Vanessa Anne Hudgens,When There Was Me And You,Walt Disney Digital
Feb 18,6,Rascal Flatts,What Hurts The Most,Lyric Street Digital
Feb 18,29,Teddy Geiger,For You I Will (Confidence),Columbia Digital
Feb 18,66,James Blunt,Goodbye My Lover,Custard Digital
Feb 18,72,D4L,Betcha Can’t Do It Like Me,DeeMoney/Asylum Digital
Feb 18,75,Heather Headley,In My Mind,RCA Digital
Feb 25,1,Daniel Powter,Bad Day,Warner Bros Digital
Feb 25,1,Rihanna,SOS,SRP/Def Jam 006313
Feb 25,8,"Fray, The",Over My Head (Cable Car),Epic Digital
Feb 25,13,Pink,Stupid Girls,LaFace Digital
Feb 25,31,Saving Jane,Girl Next Door,Alert/Toucan Cove Digital
Feb 25,42,Kanye West Featuring Lupe Fiasco,Touch The Sky,Roc-A-Fella/Def Jam Digital
Feb 25,69,Michael Stipe,In The Sun,Warner Bros Digital
