release_date,peak,artist,track,label
Jan 6,12,Pretty Ricky,On The Hotline,Bluestar Digital
Jan 6,61,Beyonce,Listen,Music World Digital
Jan 13,9,Pink,U + Ur Hand,LaFace Digital
Jan 13,54,Jibbs Featuring Chamillionaire,King Kong,Beasta Digital
Jan 13,60,Jennifer Hudson,And I’m Telling You I’m Not Going,Music World Digital
Jan 13,64,Jason Michael Carroll,Alyssa Lies,Arista Nashville Digital
Jan 13,89,Cartel,Honestly,The Militia Group Digital
Jan 20,4,Gym Class Heroes Featuring Patrick Stump,Cupid’s Chokehold/Breakfast In America,Fueled By Ramen/Atlantic DIGITAL
Jan 20,25,Christina Aguilera,Candyman,RCA Digital
Jan 20,54,Three 6 Mafia Featuring Chamillionaire,Doe Boy Fresh,Hypnotize Minds 06299
Jan 27,1,Fergie Featuring Ludacris,Glamorous,will.i.am/A&amp;M Digital
Jan 27,54,Jordan Pruitt,Jump To The Rhythm,Walt Disney Digital
Jan 27,77,Ashley Tisdale,"He Said, She Said",Warner Bros. Digital
Jan 27,87,"Wreckers, The","My, Oh My",Maverick/Warner Bros. Digital
Jan 27,92,Mike Jones,Mr. Jones,Swishahouse/Asylum Digital
Feb 3,1,Akon,Don’t Matter,Konvict/Upfront/SRC Digital
Feb 3,1,Mims,This Is Why I’m Hot,Capitol 84997
Feb 3,2,Fall Out Boy,"This Ain’t A Scene, It’s An Arms Race",Fueled By Raman/Island
Feb 3,10,Diddy Featuring Keyshia Cole,Last Night,Bad Boy 89995
Feb 3,14,Corbin Bleu,Push It To The Limit,Walt Disney Digital
Feb 3,17,Nickelback,If Everyone Cared,Roadrunner Digital
Feb 3,18,Young Jeezy Featuring R. Kelly,Go Getta,Corporate Thugz/Def Jam 008418
Feb 3,43,Lumidee Featuring Tony Sunshine,She’s Like The Wind,TVT Digital
Feb 3,76,30 Seconds To Mars,From Yesterday,Immortal Digital
Feb 10,36,Musiq Soulchild,Buddy,Atlantic 89998
Feb 10,39,Good Charlotte Featuring M. Shadows And Synyster Gates,The River,Daylight Digital (Epic)
Feb 10,49,Lily Allen,Smile,Regal Digital
Feb 10,61,Kenny Chesney,Beer In Mexico,BNA Digital
Feb 10,86,Brooks &amp; Dunn,Hillbilly Deluxe,Arista Nashville Digital
Feb 10,86,"Shins, The",Phantom Limb,Sub Pop 734
Feb 10,88,My Chemical Romance,Famous Last Words,Reprise Digital
Feb 17,29,Katharine McPhee,Over It,RCA Digital
Feb 17,31,Jonas Brothers,Year 3000,Daylight Digital (Columbia)
Feb 17,32,Martina McBride,Anyway,RCA Nashville Digital
Feb 17,37,Carrie Underwood,Wasted,Arista Digital
Feb 17,54,Sugarland,Settlin’,Mercury Digital
Feb 17,57,Mika,Grace Kelly,Casablanca Digital
Feb 17,61,Vanessa Hudgens,Say OK,Hollywood Digital
Feb 17,61,Modest Mouse,Dashboard,Epic Digital
