release_date,peak,artist,track,label
Jan 5,36,Pitbull Featuring Lil Jon,The Anthem,Famous Artists Digital
Jan 5,57,Baby Bash Featuring Sean Kingston,What Is It,Arista 20103
Jan 5,58,Ashley Tisdale,"He Said, She Said",Warner Bros. Digital
Jan 5,66,Alvin And The Chipmunks,The Chipmunk Song (Christmas Don’t Be Late) (2007),Fox Digital
Jan 5,89,Chingy Featuring Amerie,Fly Like Me,DTP /Def Jam Digital
Jan 5,90,Carrie Underwood,Do You Hear What I Hear,BNA Digital
Jan 5,93,Landon Pigg,Falling In Love At A Coffee Shop,RCA Digital
Jan 12,19,Janet,Feedback,Island Digital
Jan 12,40,Flyleaf,All Around Me,A&amp;M/Octone Digital
Jan 12,62,Alvin And The Chipmunks Featuring Chris Classic,Witch Doctor (2007),Fox Digital
Jan 12,67,Alvin And The Chipmunks,Bad Day,Fox Digital
Jan 12,86,Alvin And The Chipmunks,Funkytown,Fox Digital
Jan 12,96,3 Doors Down,Citizen Soldier,Universal Republic Digital
Jan 12,100,Miranda Cosgrove Featuring Drake Bell,Leave It All To Me (iCarly Theme Song),Nickelodeon Digital
Jan 19,3,Jordin Sparks Duet With Chris Brown,No Air,19/Jive Digital
Jan 19,27,Carrie Underwood,All-American Girl,Arista Nashville Digital
Jan 19,42,Alan Jackson,Small Town Southern Man,Arista Nashville Digital
Jan 19,47,Kenny Chesney,Shiftwork,BNA Digital
Jan 19,68,Miley Cyrus,Start All Over,Hollywood Digital
Jan 19,86,Dragonforce,Through The Fire And Flames,Sanctuary/Atlantic Digital
Jan 19,90,Plain White T’s,Our Time Now,Hollywood Digital
Jan 26,30,The-Dream,Falsetto,Radio Killa/Def Jam Digital
Jan 26,31,Shawty Lo,Dey Know,D4L Digital
Jan 26,37,Fat Joe Featuring J. Holiday,I Won’t Tell,Terror Squad Digital
Jan 26,52,Cascada,What Hurts The Most,Robbins 72171
Jan 26,87,Tim McGraw,Suspicions,Curb Digital
Jan 26,88,Toby Keith,Get My Drink On,Show Dog Nashville Digital
Jan 26,91,Michael Cera &amp; Ellen Page,Anyone Else But You,Fox/Rhino Digital
Feb 2,33,Lifehouse,Whatever It Takes,Geffen Digital
Feb 2,54,Chris Cagle,What Kinda Gone,Capitol Nashville Digital
Feb 2,61,Jason Aldean,Laughed Until We Cried,Broken Bow Digital
Feb 2,78,Brooks &amp; Dunn,God Must Be Busy,Arista Nashville Digital
Feb 2,89,Foo Fighters,Long Road To Ruin,Roswell/RCA Digital
Feb 2,95,Bruce Springsteen,Girls in Their Summer Clothes,Columbia Digital
Feb 9,5,Natasha Bedingfield,Pocketful Of Sunshine,Phonogenic Digital
Feb 9,24,Daughtry,Feels Like Tonight,RCA Digital
Feb 9,25,Jonas Brothers,When You Look Me In The Eyes,Hollywood Digital
Feb 9,63,Aly &amp; AJ,Like Whoa,Hollywood Digital
Feb 9,81,Michael Jackson with Akon,Wanna Be Startin’ Something’ 2008,Legacy Digital
Feb 9,98,Kate Voegele,Kindly Unspoken,MySpace Digital
Feb 16,3,Ray J &amp; Yung Berg,Sexy Can I,Knockout/Deja 34
Feb 16,7,Yael Naim,New Soul,Tot Ou Tard Digital
Feb 16,12,Trace Adkins,You’re Gonna Miss This,Capitol Nashville Digital
Feb 16,48,Soulja Boy Tell’em Featuring Arab,YAHHH!,Collipark 010147
Feb 16,51,Panic At The Disco,Nine In The Afternoon,Fueled By Ramen Digital
Feb 16,60,Missy Elliott,Ching-A-Ling,The Gold Mind Digital
Feb 16,67,Puddle Of Mudd,Psycho,Flawless/Geffen Digital
Feb 16,81,Hannah Montana,Rock Star,Walt Disney Digital
Feb 16,97,Lil Wayne,I’m Me,Cash Money Digital
Feb 23,20,Colbie Caillat,Realize,Universal Republic Digital
Feb 23,39,Cherish Featuring Yung Joc,Killa,Sho’Nuff 17110
Feb 23,66,Rocko,Umma Do Me,Rocky Road/Island Urban 010572
Feb 23,73,Lenny Kravitz,I’ll Be Waiting,Virgin Digital
Feb 23,77,Sheryl Crow,Love Is Free,A&amp;M Digital
Feb 23,84,Jewel,Stronger Woman,Valory Digital
Mar 1,1,Leona Lewis,Bleeding Love,SYCO/J Digital
Mar 1,1,Usher Featuring Young Jeezy,Love In This Club,LaFace Digital
Mar 1,1,Mariah Carey,Touch My Body,Island 011159
Mar 1,16,Flo Rida Featuring Timbaland,Elevator,Poe Boy Digital
Mar 1,17,Rick Ross Featuring T-Pain,The Boss,Slip-N-Slide/Def Jam 010823
Mar 1,24,Gavin DeGraw,In Love With A Girl,J Digital
Mar 1,24,2 Pistols Featuring T-Pain &amp; Tay Dizm,She Got It,Universal Republic Digital
Mar 1,28,Taylor Swift,Picture To Burn,Big Machine Digital
Mar 1,70,Celine Dion &amp; Josh Groban,The Prayer (Live),Feeling Digital (Columbia)
Mar 1,77,Amy Winehouse Featuring Ghostface Killah,You Know I’m No Good,Universal Republic 008491
Mar 8,10,Lil Mama Featuring Chris Brown,Shawty Get Loose,Familiar Faces/Jive 27082
Mar 8,17,3 Doors Down,It’s Not My Time,Universal Republic Digital
Mar 8,27,James Otto,Just Got Started Loving You,Warner Bros. Digital
Mar 8,33,George Strait,I Saw God Today,MCA Nashville Digital
Mar 8,48,Phil Vassar,Love Is A Beautiful Thing,Universal South Digital
Mar 8,62,Paula Abdul &amp; Randy Jackson,Dance Like There’s No Tomorrow,Dream Merchant 21 Digital
Mar 8,81,Bucky Covington,It’s Good To Be Us,Lyric Street Digital
Mar 8,86,Flex,Te Quiero,EMI Televisa Digital
Mar 8,95,Missy Elliott,Shake Your Pom Pom,The Gold Mind Digital
Mar 15,14,Colby O’Donis Featuring Akon,What You Got,KonLive/Geffen Digital
Mar 15,43,Britney Spears,Break The Ice,Jive Digital
Mar 15,53,Lady Antebellum,Love Don’t Live Here,Capitol Nashville Digital
Mar 15,61,Glen Hansard &amp; Marketa Irglova,Falling Slowly,Canvasback/Overcoat Digital
Mar 15,82,Dolla Featuring T-Pain &amp; Tay Dizm,Who The F*** Is That?,Jive 22024
Mar 15,88,Erykah Badu,Honey,Universal Motown 010585
Mar 15,96,Raheem DeVaughn,Woman,Jive Digital
Mar 22,37,Ashanti,The Way That I Love You,The Inc. Digital
Mar 22,71,Toby Keith,She’s A Hottie,Show Dog Nashville Digital
Mar 29,1,Lil Wayne Featuring Static Major,Lollipop,Cash Money Digital
Mar 29,10,Danity Kane,Damaged,Bad Boy Digital
Mar 29,33,Brad Paisley,I’m Still A Guy,Arista Nashville Digital
Mar 29,45,Rascal Flatts,Every Day,Lyric Street Digital
Mar 29,95,Ryan Leslie,Diamond Girl,NextSelection/Casablanca Digital
Apr 5,3,Madonna Featuring Justin Timberlake,4 Minutes,Warner Bros. 463036
Apr 5,61,Flo Rida Featuring Sean Kingston,Roll,Poe Boy Digital
