release_date,peak,artist,track,label
Jan 6,1,Joe Featuring Mystikal,Stutter,Jive 42870
Jan 6,1,Crazy Town,Butterfly,Columbia 79570
Jan 6,33,Pink,You Make Me Sick,LaFace 24533
Jan 6,65,Faith Hill,Where Are You Christmas?,Interscope 10237
Jan 6,81,Modjo,Lady (Hear Me Tonight),MCA 587900
Jan 6,83,Mr. C The Slide Man,Cha-Cha Slide,MOB/Universal 158378
Jan 6,93,A*Teens,Bouncing Off The Ceiling (Upside Down),Stockholm 157585
Jan 13,3,Dido,Thankyou,Arista 13996
Jan 13,10,Tamia,Stranger In My House,Elektra 67151
Jan 13,44,Koffee Brown,After Party,Arista 13924
Jan 20,23,Ludacris,Southern Hospitality,Def Jam South 572749
Jan 20,29,Diamond Rio,One More Day,Arista Album Cut
Jan 20,75,Sade,By Your Side,Epic 79544
Jan 20,76,Darryl Worley,A Good Day To Run,DreamWorks Album Cut
Jan 27,7,Aerosmith,Jaded,Columbia 79555
Jan 27,13,Ricky Martin &amp; Christina Aguilera,Nobody Wants To Be Lonely,Columbia Album Cut
Jan 27,28,Jessica Andrews,Who I Am,DreamWorks Album Cut
Jan 27,34,"Corrs, The",Breathless,143/Lava Album Cut
Jan 27,56,Aaron Lewis Of Staind WIth Fred Durst,Outside (Live),Flawless Album Cut
Jan 27,71,Dave Matthews Band,I Did It,RCA Album Cut
Jan 27,71,Bilal,Soul Sista,Moyo 497409
Jan 27,98,Carolyn Dawn Johnson,Georgia,Arista Nashville 69010
Feb 3,39,Faith Hill,If My Heart Had Wings,Warner Album Cut
Feb 3,42,Mya,Free,University Album Cut
Feb 3,71,Trick Pony,Pour Me,Warner Bros. 16816
Feb 3,77,Snoop Dogg,Snoop Dogg,No Limit Album Cut
Feb 3,86,"Jay-Z, Beanie Sigel &amp; Memphis Bleek",Change The Game,Roc-A-Fella 572761
Feb 3,94,Baha Men with Imani Coppola,You All Dat,S-Curve 151002
Feb 10,2,Lifehouse,Hanging By A Moment,DreamWorks Album Cut DreamWorks
Feb 10,4,Case,Missing You,Def Soul 572839
Feb 10,28,ATC,Around The World (La La La La La),Republic 158610
Feb 10,43,Jill Scott,A Long Walk,Hidden Beach Album Cut
Feb 10,61,Daft Punk,One More Time,Virgin 38758
Feb 10,75,Linkin Park,One Step Closer,Warner Bros. Album Cut
Feb 17,9,Incubus,Drive,Immortal Album Cut
Feb 17,24,Musiq Soulchild,Love,Def Soul Album Cut
Feb 17,47,Eve,Who’s That Girl?,Ruff Ryders 497488
Feb 17,52,"Backstreet Boys, The",The Call,Jive Album Cut
Feb 17,57,Bon Jovi,Thank You For Loving Me,Island Album Cut
Feb 17,58,Jon B.,Don’t Talk,Epic/Edmonds 79561
Feb 17,93,Iconz Featuring Tony Marshino,Get Crunked Up,Landmark/Slip-N-Slide/Elektra 67154
Feb 24,3,Nelly Featuring City Spud,Ride Wit Me,Fo’ Reel Album Cut
Feb 24,59,Sarina Paris,Look At Us,Playland 38721
Feb 24,64,Monica,Just Another Girl,Epic Soundtrack Cut
Mar 3,9,Nelly Furtado,I’m Like A Bird,DreamWorks Album Cut
Mar 3,10,S Club 7,Never Had A Dream Come True,Interscope 587074
Mar 3,26,QB’s Finest Featuring Nas,Oochie Wally,Ill Will 79586
Mar 3,30,OutKast,"So Fresh, So Clean",LaFace 24537
Mar 3,33,Travis Tritt,It’s A Great Day To Be Alive,Columbia Album Cut
Mar 3,58,Vertical Horizon,Best I Ever Had (Grey Sky Morning),RCA Album Cut
Mar 3,87,Project Pat,Chickenhead,Hypnotize Minds 1973
Mar 3,98,Philly’s Most Wanted,Cross The Border,Atlantic 85008
Mar 10,5,Uncle Kracker,Follow Me,Lava Album Cut
Mar 10,18,Sunshine Anderson,Heard It All Before,Soulife 95524
Mar 10,25,Brooks &amp; Dunn,Ain’t Nothing ‘Bout You,Arista Nashville Album Cut
Mar 10,26,Kenny Chesney,Don’t Happen Twice,BNA Album Cut
Mar 10,48,Coldplay,Yellow,Capitol Album Cut
Mar 10,50,Trick Daddy Featuring SNS Express,Take It To Da House,Slip-N-Slide 85063
Mar 17,1,Janet,All For You,Virgin 97522
Mar 17,2,Destiny’s Child,Survivor,Columbia 79566
Mar 17,5,Train,Drops Of Jupiter,Columbia Album Cut
Mar 17,15,Olivia,Bizounce,J 21026
Mar 17,38,"Dixie Chicks, The",If I Fall You’re Going Down With Me,Monument Album Cut
Mar 17,38,Tank,Maybe I Deserve,Blackground Album Cut
Mar 17,59,Tim Rushlow,She Misses Him,Atlantic Album Cut
Mar 17,79,SheDaisy,Lucky 4 You (Tonight I’m Just Me),Lyric Street Album Cut
Mar 24,7,Missy “Misdemeanor” Elliott,Get Ur Freak On,Gold Mind 67190
Mar 24,8,City High,What Would You Do?,Booga Basement 497489
Mar 24,44,Mark McGuinn,Mrs. Steven Rudy,VFR 734758
Mar 24,50,"Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy &amp; Tha Eastsidaz",Lay Low,Priority 50174
Mar 31,6,R. Kelly Featuring Jay-Z,Fiesta,Jive 42904
Mar 31,8,Eden’s Crush,Get Over Yourself,143/London 35063
Mar 31,25,Tim McGraw,Grown Men Don’t Cry,Curb Album Cut
Mar 31,47,India.Arie,Video,Motown Album Cut
Mar 31,63,"Black Eyed Peas, The Featuring Macy Gray",Request Line,Interscope 497498
Apr 7,11,Lil’ Mo Featuring Fabolous,Superwoman Pt. II,EastWest 67171
Apr 7,18,Jennifer Lopez,Play,Epic Album Cut
Apr 7,37,Montgomery Gentry,She Couldn’t Change Me,Columbia 79540
Apr 7,42,Gary Allan,Right Where I Need To Be,MCA Nashville Album Cut
Apr 7,48,Tyrese,I Like Them Girls,RCA 60418
Apr 7,66,Ginuwine,There It Is,Epic Album Cut
Apr 7,70,Azul Azul,La Bomba,Sony Discos 84285
Apr 7,82,Jay-Z Featuring R. Kelly,Guilty Until Proven Innocent,Roc-A-Fella 572809
Apr 7,86,Barenaked Ladies,Too Little Too Late,Reprise 16774
