release_date,peak,artist,track,label
Jan 5,13,Default,Wasting My Time,TVT Album Cut
Jan 5,27,Keke Wyatt Featuring Avant,Nothing In This World,MCA Album Cut
Jan 5,37,B2K,Uh Huh,Epic 79686
Jan 5,76,System Of A Down,Chop Suey,American Album Cut
Jan 5,77,"Offspring, The",Defy You,Columbia Soundtrack Cut
Jan 5,93,Lil Bow Wow Featuring Jagged Edge &amp; Fundisha,Thank You,So So Def 79685
Jan 12,31,Martina McBride,Blessed,RCA Album Cut
Jan 12,33,Tim McGraw,The Cowboy In Me,Curb Album Cut
Jan 12,64,Tracy Byrd,Just Let Me Be In Love,RCA Album Cut
Jan 19,55,"Dixie Chicks, The",Some Days You Gotta Dance,Monument Album Cut
Jan 19,66,Joe Diffie,In Another World,Monument Album Cut
Jan 19,97,NB Ridaz Featuring Angelina,Runaway,NastyBoy 2001 Upstairs
Jan 19,99,Mobb Deep Featuring Vita &amp; Noyd,Burn,Loud/Columbia 79669
Jan 26,7,Brandy,What About Us?,Atlantic 85217
Jan 26,7,Kylie Minogue,Can’t Get You Out Of My Head,Capitol 77685
Jan 26,14,Faith Evans,I Love You,Bad Boy 79425
Jan 26,58,Mobb Deep Featuring 112,Hey Luv (Anything),Loud Album Cut
Jan 26,63,Corey Featuring Lil’ Romeo,Hush Lil’ Lady,Noontime 015474 Motown
Jan 26,66,Jay-Z,Jigga,Roc-A-Fella/Def Jam 588930
Feb 2,23,Alanis Morissette,Hands Clean,Maverick Album Cut
Feb 2,25,Aaliyah,More Than A Woman,Blackground Album Cut
Feb 2,41,Rascal Flatts,I’m Movin’ On,Lyric Street Album Cut
Feb 2,76,Kevin Denney,That’s Just Jessie,Lyric Street 164063
Feb 2,86,DMX Featuring Faith Evans,I Miss You,Ruff Ryders/Def Jam 588874
Feb 2,94,George Harrison,My Sweet Lord,gnome 50438 Capitol
Feb 9,3,Usher,U Don’t Have To Call,Arista 15060
Feb 9,5,N’Sync Featuring Nelly,Girlfriend,Jive 40013
