artist,artist_id
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V
Coldplay,4gzpq5DPGxSnKTe4SA8HAU
Ava Max,4npEfmQ6YuiwW1GpUmaq3F
Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we
Banx & Ranx,2uFC1dAj5b0YU7vulKNZ0p
Jason Mraz,4phGZZrJZRo4ElhRtViYdl
George Ezra,2ysnwxxNtSgbb9t1m2Ur4j
Vance Joy,10exVja0key0uqUkk6LJRT
Maisie Peters,2RVvqRBon9NgaGXKfywDSs
James Arthur,4IWBUUAFIplrNtaOHcJPRM
Galantis,4sTQVOfp9vEMCemLw50sbu
Uncle Kracker,2DnqqkzzDKm3vAoyHtn8So
Sugar Ray,4uN3DsfENc7dp0OLO0FEIb
Jess Glynne,4ScCswdRlyA23odg9thgIO
Mark Ronson,3hv9jJF3adDNsBSIQDqcjp
Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK
MARINA,6CwfuxIqcltXDGjfZsMd9A
Alphabeat,7Defmv25Kj9knpobhHIghm
Rudimental,4WN5naL3ofxrVBgFpguzKo
Rita Ora,5CCwRZC6euC8Odo6y9X8jr
Anne-Marie,1zNqDE7qDGCsyzJwohVaoX
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X
Paul Simon,2CvCyf1gEVhI0mX6aFXmVI
Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok
Pretenders,0GByy3DcfbQwDvXGCWmzv9
Keala Settle,7HV2RI2qNug4EcQqLbCAKS
Ten Tonnes,4hfrzKkUsrb3Cz209SKxbo
Paolo Nutini,7x5rK9BClDQ8wmCkYAGsQp
David Bowie,0oSGxfWSnnOXhD2fKuz2Gy
Bruno Mars,0du5cEVh5yTK9QJze8zA0C
Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX
Clean Bandit,6MDME20pz9RveH9rEXvrOM
LÉON,4SqTiwOEdYrNayaGMkc7ia
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb
Curtis Mayfield,2AV6XDIs32ofIJhkkDevjm
Bee Gees,1LZEQNv7sE11VDY3SdxQeN
NONONO,513t0jZUP0K98C4h7KHtEb
Eliza Doolittle,14L5rpGTLVUz1pD8fUeJB1
Birdy,2WX2uTcsvV5OnS0inACecP
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi
KT Tunstall,5zzrJD2jXrE9dZ1AklRFcL
Toto,0PFtn5NtBbbUNbU9EAmIWF
fun.,5nCi3BB41mBaMH9gfr6Su0
Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA
ABBA,0LcJLqbBmaGUft1e9Mm8HV
Madonna,6tbjWDEIzxoDsBA1FuhfPW
Gnarls Barkley,5SbkVQYYzlw1kte75QIabH
Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y
Ian Janco,7aV3497dprpnqVKw1UYtGc
Billy Joel,6zFYqv1mOsgBRQbae3JJ9e
Prince,5a2EaR3hamoenG9rDuVn8j
Stevie Nicks,7crPfGd2k81ekOoSqQKWWz
Saint Motel,1dWEYMPtNmvSVaDNLgB6NV
Robin Schulz,3t5xRXzsuZmMDkQzgOX35S
Fatboy Slim,4Y7tXHSEejGu1vQ9bwDdXW
Deee-Lite,4eQJIXFEujzhTVVS1gIfu5
Barenaked Ladies,0dEvJpkqhrcn64d3oI8v79
Katrina & The Waves,2TzHIUhVpeeDxyJPpQfnV3
Alanis Morissette,6ogn9necmbUdCppmNnGOdi
The B-52's,3gdbcIdNypBsYNu3iiCjtN
Duran Duran,0lZoBs4Pzo7R89JM9lxwoT
Huey Lewis & The News,7A9yZMTrFZcgEWAX2kBfK6
Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5
CHIC,0Xf8oDAJYd2D0k3NLI19OV
Sister Sledge,6gkWznnJkdkwRPVcmnrays
a-ha,2jzc5TC5TVFLXQlBNiIUzE
Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY
Gorillaz,3AA28KZvwAUcZuOKwyblJQ
Lily Allen,13saZpZnCDWOI9D4IJhp1f
Rufus,3MCjwjfIor5FkK3h639qkW
Smash Mouth,2iEvnFsWxR0Syqu2JNopAd
Candi Staton,3S34Unhn5yRcaH5K9aU5Et
Phil Collins,4lxfqrEsLX6N1N4OCSkILp
Lionel Richie,3gMaNLQm7D9MornNILzdSl
The Monkees,320EPCSEezHt1rtbfwH6Ck
Sam & Dave,2BVYdY4PyfCF9z4NrkhEB2
Rusted Root,2M3vnW1p5w4uPRkLYTbvdB
Talking Heads,2x9SpqnPi8rlE9pjHBwmSC
Annie Lennox,5MspMQqdVbdwP6ax3GXqum
Jackie Wilson,4VnomLtKTm9Ahe1tZfmZju
Junior Senior,7xNPROyVfkH4mcIxxCxySm
Tina Turner,1zuJe6b1roixEKMOtyrEak
Lauren Daigle,40LHVA5BTQp9RxHOQ9JPYj
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai
Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9
Andy Grammer,2oX42qP5ineK3hrhBECLmj
Sigrid,4TrraAsitQKl821DQY42cZ
James Morrison,3LpLGlgRS1IKPPwElnpW35
L Devine,5dhyUSoGhz79WTzP39vKs4
Sam Feldt,20gsENnposVs2I4rQ5kvrf
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr
Jax Jones,4Q6nIcaBED8qUel8bBx6Cr
Kygo,23fqKkggKUBHNkbKtXEls4
Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs
Daniel Powter,7xTcuBOIAAIGDOSvwYFPzk
Moloko,4aaBjq7VqqQvpSF69GglvO
Plested,2nJYGgfTf2846LtVB3AES8
Simply Red,1fa0cOhromAZdq2xRA4vv8
Duffy,37NqXwtb6nIEqRt4EJSoIO
Hard-FI,14Gi3Uph96lpNB3utkoVAD
Conor Maynard,6mU8ucezzms5I2kNH6HNlu
Talk Talk,7Fo8TAyGJr4VmhE68QamMf
Elderbrook,2vf4pRsEY6LpL5tKmqWb64
Tones and I,2NjfBq1NflQcKSeiDooVjY
Britney Spears,26dSoYclwsYLMAKD3tpOr4
Beyoncé,6vWDO969PvNqNYHIOW5v0m
P!nk,1KCSPY1glIKqW2TotWuXOR
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm
Sean Kingston,6S0dmVVn4udvppDhZIWxCr
Usher,23zg3TcAtWQy7J6upgbUnj
T.I.,4OBJLual30L7gRl5UkeRcT
Shakira,0EmeFodog0BfCgMzAIvKQp
Foster The People,7gP3bB2nilZXLfPHJhMdvc
Train,3FUY2gzHeIiaesXtOAdB7A
Toploader,6xeFne1rkxMhKSW3ipvkdV
Alicia Keys,3DiDSECUqqY1AuBP8qtaIa
The Script,3AQRLZ9PuTAozP28Skbq8V
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6
OutKast,1G9G7WwrXka3Z1r7aIDjI7
Justin Timberlake,31TPClRtHm23RisEBtV3X7
John Legend,5y2Xq6xcjJb2jVM54GHK3t
A Great Big World,5xKp3UyavIBUsGy3DQdXeF
Kesha,6LqNN22kT3074XbTVUrhzX
Chris Brown,7bXgB6jMjp9ATFy66eO08Z
Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j
Pitbull,0TnOYISbd1XYRBk9myaseg
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o
