artist,artist_id,gender,record_label,artist_country,current_city,hometown_city,band_members,spotify_tags
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,1.0,Epic/Legacy Recordings,us,,,,pop
Toto,0PFtn5NtBbbUNbU9EAmIWF,1.0,Toto Recordings,us,Los Angeles,Los Angeles,"Steve Lukather - Guitar and Vocals 
David Paich - Keyboards and Vocals 
Steve Porcaro - Keyboards and Vocals 
Shannon Forrest - Drums 
Joe Williams - Vocals 
Shem Von Schroeck - Bass 

Website:
http://www.totoofficial.com

Twitter:
http://www.twitter.com/toto99com",rock/album rock/mellow gold/soft rock
The Who,67ea9eGLXYMsO2eYQRui3w,1.0,Universal / Polydor,gb,,,"The Official Facebook page of The Who.
Pete Townshend's page is here www.facebook.com/PeteTownshend. Roger Daltrey's page is here www.facebook.com/Roger-Daltrey. 
John Entwistle page is here www.facebook.com/John-Entwistle 
and Mr Keith Moon, erstwhile Patent British Exploding Drummer can be found here www.facebook.com/KeithMoonOfficial",rock/singer-songwriter/album rock/classic rock/hard rock/british invasion/protopunk/psychedelic rock/art rock/mellow gold/folk rock/blues-rock/roots rock
Eurythmics,0NKDgy9j66h3DLnN8qu1bB,1.0,Legacy,gb,,,"Annie Lennox
Dave Stewart",rock/synthpop/art rock/mellow gold/soft rock/dance rock/new wave/europop/new wave pop/new romantic
Journey,0rvjqX7ttXeg3mTy8Xscbt,1.0,"Nomota, Sony",us,,San Francisco,"Neal Schon (lead guitar, backing vocals), Ross Valory (bass, backing vocals), Jonathan Cain (keyboards, backing vocals), Steve Smith (drums), Arnel Pineda (lead vocals)",rock/album rock/classic rock/hard rock/mellow gold/soft rock
REO Speedwagon,55vs7NT1KxcFjbMC4y202E,1.0,,us,,,,rock/album rock/classic rock/pop rock/hard rock/mellow gold/folk rock/soft rock/southern rock
The Clash,3RGLhK1IP9jnYFH4BRFJBS,1.0,Legacy,gb,,,"Former members:
Joe Strummer, Mick Jones, Paul Simonon, Topper Headon, Keith Levene, Terry Chimes, Rob Harper, Pete Howard, Nick Sheppard, Vince White",rock/permanent wave/classic rock/punk/dance rock/new wave
Dead Or Alive,5WWSL6rElJeUk3Uc1S2RyD,1.0,Legacy Recordings/Sony,gb,,Liverpool,"Pete Burns
Steve Coy
Jason Alburey",synthpop/dance rock/new wave/new wave pop/new romantic
Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,1.0,,us,,,,rock/singer-songwriter/album rock/classic rock/piano rock/mellow gold/folk rock/soft rock/adult standards
The Bangles,51l0uqRxGaczYr4271pVIC,0.0,Down Kiddie,us,,,"Debbi Peterson, Vicki Peterson, Susanna Hoffs
(Former members include: Annette Zilinskas, Michael Steele, and Abby Travis)",rock/synthpop/dance pop/album rock/pop rock/mellow gold/soft rock/dance rock/new wave/europop/new wave pop/new romantic/jangle pop
