track_name,track_id,album_label
Billie Jean,5ChkMS8OtdzJeqyybCc9R5,Epic
Africa,2374M0fQpWi3dLnB54qaLX,UMC (Universal Music Catalogue)
Baba O'Riley - ConfidentialMX Remix,1DDEqSKrXxKkMNA1AfcJZa,Geffen
Sweet Dreams (Are Made of This) - Remastered,1TfqLAPs4K3s2rJMoCokcS,J Records
Don't Stop Believin',77NNZQSqzLNqh2A9JhLRkg,Sony Music Entertainment
Can't Fight This Feeling,7i9k25ppPUjKX9xjvVRLLL,Epic
Should I Stay or Should I Go - Remastered,39shmbIHICJ2Wxnk1fPSdz,Sony Music Entertainment
You Spin Me Round (Like a Record),7uHO4AmKtyGa5v5fsElGoC,Legacy Recordings
We Didn't Start the Fire,3Cx4yrFaX8CeHwBMReOWXI,Columbia
Eternal Flame,5MoDQWMDMaAGDEiWsJfeCi,Sony Music Entertainment
Back In Black,08mG3Y1vljYA6bvDt4Wqkj,Columbia
Eye of the Tiger,4iWCDT4IkkmBdGiDCf6DtW,SME Strategic Marketing Group
Beat It - Single Version,1OOtq8tRnDM8kG2gqUPjAj,MJJ Production Inc.
Every Breath You Take,0SNGe4xksgp7CGnY5kMXOJ,Now! Music
Time After Time,6G41H0Zd0kQ1WXWDoEotoJ,Sony Music Entertainment
You Make My Dreams,2dlEdDEmuQsrcXaAL3Znzi,BMG Heritage
Livin' On A Prayer,0J6mQxEZnlRt9ymzFntA6z,The Island Def Jam Music Group
I Love Rock 'N Roll,2Cdvbe2G4hZsnhNMKyGrie,Sony Music Entertainment
Home Sweet Home,4zXvB4MoQD8onk0NCZbeHG,Mötley Records
Crazy Train - Remastered,2b9lp5A6CqSzwOrBfAFhof,Sony Music Entertainment
Smooth Criminal - 2012 Remaster,2bCQHF9gdG5BNDVuEIEnNk,Epic/Legacy
I Wanna Dance with Somebody (Who Loves Me),5ifX6jfT33QWKP9DE0YRG8,Arista
Careless Whisper,4jDmJ51x1o9NZB5Nxxc7gY,Sony Music Catalog
Footloose,2vz1CsL5WBsbpBcwgboTAw,Columbia/Legacy/Sony Soundtrax
I'm So Excited,1ot6jEe4w4hYnsOPjd3xKQ,Sony BMG Music Entertainment
Whip It,2FZzcWnzSyUvFbu7xNLepv,Parlophone UK
Down Under,5MTQHfYH4RkJMtmtBQmnEj,Universal Music Australia Pty. Ltd.
Uptown Girl,3CSpzkoL1XgDBZ1q9aDCUV,Now! Music
Freeway of Love - Single Mix,0RaY0juzXaCUDZ7SWGn85j,Universal Music Australia Pty. Ltd.
You Got It (The Right Stuff),4buDeg67vos7KP1yHrS9wl,Sony Music Catalog
Hungry Heart,1KsI8NEeAna8ZIdojI3FiT,Columbia
Maneater,4aKIs5t9TqP59btlCGPrgw,RCA/Legacy
9 to 5,7ob0221dnx0OOGVSzNZgXO,Sony Music Entertainment
Wake Me Up Before You Go-Go - Remastered,5qFPs70nZD1fQZOi7u7cIZ,Universal Music Australia Pty. Ltd.
Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,Now! Music
Summer Of '69,0GONea6G2XdnHWjNZd6zt3,Digital Distribution Trinidad and Tobago
Sweet Child O' Mine,4MhTFsyqIJnjsOweVcU8ug,Geffen Records
Never Gonna Give You Up,0FutrWIUM5Mg3434asiwkp,Sony Music CG
Under Pressure - Remastered,11IzgLRXV7Cgek3tEgGgjw,Parlophone UK
Your Love,4oDZ5L8izBals6jKBJDBcX,Hollywood Records Inc.
Dancing In the Dark,7FwBtcecmlpc1sLySPXeGE,Columbia
99 Luftballons,7J1LaHMVHypncTKadbslqI,BMG Rights Management GmbH
Girls Just Want to Have Fun,6Ki8gmCpmrsDprpPjxqTa7,Now! Music
Rock You Like a Hurricane,1QLyDdhB9gmxbGv0K1kFyT,Sony Music Entertainment
