"","id","lyrics","artist","song","album","genre","year"
"2",1,"Dr Frazier I know you dislike coming here But what these sessions are for Aaron Is so you can release all the hostility that you hold inside yourself I just want you to relax And keep in mind that this is a safe place So feel free to curse cry or any other emotion that might occur during todays visit These sessions are confidential I am only here to listen and not to judge I'm just here to help you bring the things that are bottled up within out Verse 1 Fuck everybody who doubted me And said my movements a fallecy I'm loud and these pussies don't even know how to be This is the rowdy me Straight malicious and clowdy me Demons have crowded me and I really gotta get'em up out of me Ya'll ain't ever known What's really inside of my dome Play like I'm weak when I'm strong So I can peep the ones wrong They obsolete 'coz I'm gone This is a speech to condone I got the beast in my bones And Ya'll bout to reap the unknown I had every woman you saw Tecca Nina hang wit Most of there friends they see daily I dug out and came wit How can I do this 'coz my brain it stay on insane shit Never can a nigga say no names but it's hella pain to retain this Black's the blood in my veins how can I cleanse it and drain this Disaster was in my lane but a nigga pinned it and framed it After me know one thing who remain on the Strange list Have to leave out with a bang stuck off in the rain now I hang bitch Chorus What more can I say to you I Talk until my face is blue I Don't look like I'm crazy do I Do you feel me It's my last words What more can I say to you I Talk until my face is blue I Don't look like I'm crazy do I Can you hear me It's my last words Dr Frazier Talk about some of the things that really eat away at you like your career your music And don't hold back Aaron 'coz again these sessions are to extract the things that could possibly make you explode Verse 2 When y'all listen to my music I think ya'll take it lightly But I been raw since the beginning just ask my Uncle Ikey He will tell you royalty's been planted deep in my psyche All you peasants hail the king just call me AARON almighty So when you critique my music you sound like fools to me And I dont think you deserve to hear another jewel from me The industry cheated me repeatedly cruel to me So now I act conceded guess you needed no grooves from me I've had it I'm tired mane You niggas is fired mane 'Cause you know me and Travis was supposed to inherit thee entire thang I'm normal I've never admired fame I'm just famous cause I'm a fuck up and ya'll desired pain So don't talk to me when you see me Awfully's how you treat me Off of me everybody leave me it costed me never was it easy So say goodbye to the bad guy a nigga dont have anymore to sell you This might be the last time you hear a bad guy like Tecca Nina baby let me tell you Chorus What more can I say to you I Yeah Talk until my face is blue I Don't look like I'm crazy do I Do you feel me Supposed to be more than this man What more can I say to you I Talk until my face is blue I Don't look like I'm crazy do I Can you hear me I'm outta here See I've been inside out Ya'll heard the best of it Got no more to give There ain't no rest of it there I'm all out there but ya'll don't care I got no more to bare yeah What more can I say to you I That's right Talk until my face is blue I Fuck It Don't look like I'm crazy do I Can you feel me I gave everything I could give What more can I say to you I Talk until my face is blue I Don't look like I'm crazy do I Do You feel me I don't wanna hear nothin' else man I just wanna Go somewhere with my children man Disappear like dear God Make me a bird so I can fly Fly far away from here Tech N9ne","Tech_N9ne","Last Words","Tech_N9ne:Killer_(2008)","Underground Hip Hop","2008"
"72",71,"Intro Tech N9ne We been doing this for a long long time now this music thing and touring y'know and still I ain't met one person that could maintain righteousness Know what I'm sayin Verse 1 Tech N9ne A wise man told me evil was lurkin and if you found it try your best to not put yourself around it Cuz when you in it you tend to push it to the limit but then when the sin beginnin you wish you would stay grounded I went all over the world and I done been through it at the beginning I knew I wouldn't give in to it but temptation over the sensation women I'm embracin so many of them waitin Contemplatin how to get fornication and yo door when its late with the motivation of Satan so they say but things go they way but its more then pay told her hey yo the phase for today But lust it sets in and crush your chest in for dust your destined if drugs are let in Enough to nest in probably make you punch your best friend and next kin cuz you let s e x win You mean to tell me you can fight this land with brightness and walk the path of the righteous man Yo I want to believe that itching to see that if a positive person can shake the negative feedback that this life has to offer and its faster What a disaster if you didn't obey the master Cuz that's mutiny it would be new to me if you was on tour with Tecca Nina and you could be Chorus Krizz Kaliko Strange Lane Choir Holy holy If you lived in another world would you Know me know me I know you be strong but you been gone a While I know you still my Child So I'm pullin for you Hold your only Your soul and if you know it wont you Show me show me You can see me if you look up for a While Holier than Thou So I say it for you Verse 2 Krizz Kaliko How can I move the crowd without losin out of my faith Lucifer out of the way way Or maybe he don't even exist I ain't gotta trip Gettin hookers out of my system get you out of my system See thats how he tricks em Let em sip then a big ol mickey he slips them I wonder why Music soothes the savage soul People could lose or win but lack control Wish we could choose to live and fast the soul We smashin women then bypass the soul They believin everything we breathe in Half of us is Jesus the other half is heathen And how we get that bad half out We pray the lord would cast that out Hope you got blessins let them pass that out When we travellin and pass that route Keep us under their grace is the place where we had that doubt Where I stand its pointin at me but its with my hand I need you you holier than I am I am Chorus Krizz Kaliko Strange Lane Choir Holy holy If you lived in another world would you Know me know me I know you be strong but you been gone a While I know you still my Child So I'm pullin for you Hold your only Your soul and if you know it wont you Show me show me You can see me if you look up for a While Holier than Thou So I say it for you Verse 3 Tech N9ne This verse was intended for a gospel rapper that we all admire and he goes by the name of a hrefwikiDaTRUTH titleDa TRUTH classmwredirectDa TRUTHa All we wanted was a righteous man to lead us in the right direction and maybe if he came we could change and regroup So we laid it down and sent it hopin' we would rap wit us track splittas Waited and none of his people got back wit us We kept callin' and they finally answered when a month passed We was prepared to do whatever give it if he wants cash but the lady who represent em would never send 'em a message from a secular messenger Never be no nepotism we supposed to be brothers on the road to teach others but the flow would be covered don't wanna mess with Tech they know that we smothered anybody who diss us retire they weak flow Cuz this is the pinnacle nobody flyer than me bro If you didn't like it then I admire the ego And if they never told ya then you better fire ya people Cause fallen angels came for your help and then she pushed 'em but Christians be the first to run they mouth about Muslims but they always helpin in the hood but y'all closed me out y'all didn't even really wanna know what we bout And we bombay TRUTH aint on it so the don spay and I had to spit on in cuz I couldn't afford Kanye I needed help your people showed me the wall be lowly as y'all I guess y'all wasn't holy at all naw Much love to the gospel MC J Blast for coming down in the midst of sinners to try to help us remedy our situation Even though most if his peers told him not to cuz we secular MCs Thanks for giving me Da TRUTH CD and bringing true Godliness to our circle bro God bless you for being so Chorus Krizz Kaliko Strange Lane Choir Holy holy If you live in another world would you Know me know me I know you be strong but you been gone a While WHILE I know you still my Child CHILD So I'm pullin for you Hold your only Your soul and if you know it wont you Show me show me You can see me if you look up for a While WHILE You're holier than Thou THOU So I say it for you Holy holy If you lived in another world would you Know me know me Would you know me While WHILE WHILE Child You my child now Hold your only Your soul and if you know it wont you Show me show me You can see me if you look up for a While You're holier than Thou oooooooh yeeeeaaaah","Tech_N9ne","Holier Than Thou","Tech_N9ne:Killer_(2008)","Underground Hip Hop","2008"
"73",72,"feat Krizz Kaliko Intro Another piece that I wrote about me Being stuck in my ways yeah Krizz Kaliko And I can't give up what I'm in love with I guess I'm a mess and I just can't shake it I just can't change what I am What it I do to be so wrong Could it be so different Is there a remedy Will you be forgivin me Cause this ain't my life or the way it was sposed to be I'm waiting here for you to come and tell me What I do so wrong Tech N9ne Listen to me this talent was given to me By his omnipotence so dig it music is livin through me Even through prisons I've arissen he big and is in movies Ism if is is a hit the vision is in beauty for women When I'm writin I'm winnin so excitin I'm grinnin Then you strike an now the fights are beginnin I gotta be sharp as a knife when I'm on the mic an you sinnin By stiflin my spinnin what imaginary life has you been in By thinkin you be the reason no speakin to you this evenin I'm deep in this music reachin for the peice I dilute the season But you be illin cause my attention you truly stealin Pursue the millions come in secondwould you be willin Don't think so you be thinkin time an I think dough Love is what you need from me but in time it'll shrink mo Cause I be on the grind for this rhyme an the ink flow I go for mine an you think its a crime an I think WHOA Krizz Kaliko An I can't give up what I'm in love with But I guess I'm a mess an I just can't shake it I just can't change what I am An I can't give up what I'm in love with But I guess I'm a mess an I just can't shake it I just can't change what I am Tech N9ne Everything in my closet is black white an red Most of my homies was bosses but got life or dead Now I move in they shadows but I got the mic an bread But this life it seem ya destiny is a knife or lead Yes I was brought up in a Cristian house But my mother marreing a Muslim threw the christian out An what they did to Malcom X threw the islam out So my homies with money seemed to be the glistnen route What I found was funerals and I found it was real friends But I paid attention and then I found that it was real men Takin care of their familys automatically built in Riskin they life in the street as long as the wheel spin SO what I gathered from it is simply my perogotive I only wish the organization was more positive I maintain and continue to gain thangs I bust an I claim Strange but I'm reppin that gang bang Krizz Kaliko An I can't give up what I'm in love with But I guess I'm a mess an I just can't shake it I just can't change what I am An I can't give up what I'm in love with But I guess I'm a mess an I just can't shake it I just can't change what I am An I can't give up what I'm in love with But I guess I'm a mess an I just can't shake it I just can't change what I am An I can't give up what I'm in love with But I guess I'm a mess an I just can't shake it I just can't change what I am","Tech_N9ne","Can't Shake It","Tech_N9ne:Killer_(2008)","Underground Hip Hop","2008"
"74",73,"Tech N9ne I didnt wanna fucking do this song for real But I wouldn't be real if I didnt Tech I be sittin by myself and thinkin mamma what have I become All I wanted was a family but when I look I be the only one Losing everything but money everybody left and I don't even get to see my young Only happiness I get is in the studio and when I get to do another run On the road doin shows get the woes when it slows gettin cold getting old but the flows gettin sold I've been doin this a minute but I think I wanna end it cause I'm on a higher level when I go But the music I be doin it be losin make it really tough for me to grow All I wanted is a family portrait see my babies on a ranch with horses But I was fucking devil bitches in corsets I was livin really good then I torched it I'm sorry Miss Jackson I'm speakin for real and I never meant to make your daughter cry But I guess I'm a failure with women I'm lost and I feel like I ought to die Feel like I'm rotting away my life is just off in the grey How much does it cost I will pay to lay and be off in a coffin today I mean off in ashes this life ain't after a classes If I get blasted This is Suicide Letters all over again I thought that I passed it But I guess that I didn't cause this one is written and there is no mending When I'm broke I'm a joke when I croak I just hope I wont be descending But this ain't a joke I want you to know that Tech ninna is never pretending Alone in my bed a gun to my head asking WHERE IS MY HAPPY ENDING Ya Chorus Krizz Kaliko Tell me how it ends What about me Where is my happy ending What about me Is this a life worth living You know how it begins but how does it end for me Will I ever win or does He have it in for me Will this pop before I stop breathing Is their light in this dark I'm seein Tech Yea I put my life in this music nina is inside out I set my heart out for people they know what the inside bout Will they keep feelin ninna forever this I doubt Can never cry for help so if you listenin this my SHOUT I'm searching for the passage way to happiness But i'm wordly So I have to lay in nastiness Yes this is Strange year worldwide fames near but the games queer Sometime I feel like I'm Rudolph the reindeer But instead of a red nose I stay in my red clothes And the music they said blows is on top and the cred grows Can you resurrect a mother fucker that feel like he pose as a dead soul Deteriorate to an inferior state almost equal to bread mold Now as my head goes wish I could shed those Because all the time the ninna was shorted what I bled froze So now that I'm cold blooded and hella sick is what the med shows The tread slows and don't even think you reviving a dead rose Yea Chorus Tech I'm on the verge of insanity but I'm competent I'm breakin so I pick this one to vent The reason I look away when you talk to me my brain is producin evilness I'm drownin in 151 and Rumplemintz That's how I feel I sit in the mirror with this gun and practice how to kill But I know damn well that the people like me really wanna know how to chill This life is about a check about a number about a bill Think about all the love I lost cause my quest is about a mill I feel like your stupid don't talk to me I'm crackin up And I dont mean laughter I'm full of bitterness and its backing up And I live with angels but lately demons been shackin up Tug of war with my spirit you see the blood I'm hacking up I love my kids and my fans inside I sob harder Cause you pay the price for my life and its right like Bob Barker And I wont pretend its ok I'm no facade starter So I guess my only happy ending is in a massage parlor Chea Chorus","Tech_N9ne","Happy Ending","Tech_N9ne:Killer_(2008)","Underground Hip Hop","2008"
"75",74,"11871 mama brung the gun To this world and ever since its been tons of fun Leavin bitches stun off in they lungs I come Hella spun Give her the slap on the buns and run I got money mane gimme dumby dames Make her honey drain a funny thang her tummy pains All I want is sex drugs and rock n roll rap and liquor Flockin' hoes Got the drop and I lock and load Haters can fuck off flee with ya tough talk This is no mercy thirsty for blood and I bust off I am the reason they find you stiff with ya nuts off Cut cross and dusted off for yappin too much boss Rules dont apply to me America lie to me So aint no way you containing this devil inside of me And ya children they love it how Im rebel and rugged If it aint about the way that I can clutch a ducket muthafuck it Bads in town you cant get rid of me Nab stand down might as well let it be Sav and hound Baby its in my blood Cash and crowns Im everything youre thinkin of I am everything you ever were afraid of A nightmare there he go right there I am everything you ever were afraid of Very mean bitch I am everything Yes Im that one nigga go on and try nigga I'll fuck your brain Im insane I got him on the run nigga This ain't for BET mother fuck the industry Punk I know my enemy the devil he cant control me nigga I am everything that you fear I mean I dont give a fuck Hed pe Tecca Nina we fuckin pussies up Your daughter disappears we fuck her in her ears Monster flow and Im voted the nigga of the year Hold me down let it loose when I rip call it truce Feelin' good feelin' fine hit him off every time Let em have it then i grab it duck you down lay you down When i'm pimpin' when i'm sippin' meet me in that bed while So you think you fuckin' with a Kottonmouth DLoc Killa When i get em once you rip em hold me down watch me pill em DLoc said it now you know Now you know DLoc said it Bads in town you cant get rid of me Nab stand down might as well let it be Sav and hound Baby its in my blood Cash and crowns Im everything youre thinkin of I am everything you ever were afraid of A nightmare there he go right there I am everything you ever were afraid of Very mean bitch I am everything I'm a savage renegade terrorist infidel White devil gen top and Im raisin' hell I'm wide awake there aint no need for no sleeper cell Arm the bomb and the anthrax in the mail On the side lock death pour the koolaid White light voodoo magic of the black plague I'm the blood that you drink from the poison well The drug of choice i am fear you know me well Im that that go bump in the night Its me Rollin around town smokin' a blunt or a pipe with me Hed pe Kottonmouth Kings and Tecca N9ne yes we Insomnimaniacs we rulin the night just like Freddy Kreuger or that psycho Michel Meyers yeah So you better play nice half a bottle and always startin' up a fight hahahaha This is Strange Music so what you gonna do cry Bads in town you cant get rid of me Nab stand down might as well let it be Sav and hound Baby its in my blood Cash and crowns Im everything youre thinkin of I am everything you ever were afraid of A nightmare there he go right there I am everything you ever were afraid of Very mean bitch I am everything","Tech_N9ne","I Am Everything","Tech_N9ne:Killer_(2008)","Underground Hip Hop","2008"
"76",75,"feat Bosko Krizz Kaliko INTRO You're body don't lie I can tell you've done this before You're too locked up let me put my key in your door Put your body all on top of me I want to enjoy Sexy sexy enjoy wont you let me enjoy X3 VERSE 1 Welcome to my wonderful world of enjoyment Only go getting sexy women get employment Full of exuberance behavior is flamboyant Anyone not drinkin' or smoking' is an annoyance If you wanna work you can visit me in the cockpit You wont know you have it when I put you on the hot list Then I check your body parts makin sure that its spotless I am the controller so baby just know I got this Truly elegant sexy for the hell of it Who you got waitin at the crilla is irrelevant Need to know the smell of it smellin like the crotch produce spring flower is what I tell the bitch Sexy sexy enjoy wont you let me enjoy X3 VERSE 2 Bb bc bg bp baby fat cc Chanel gc Gucci Take it off so I can see ya 3d Ya great at extending the bp Oh shit focus low chicks hold this what hootie and the blow fish huh hocus pocus Imma go in my pocket and pull out a wad of this glock and baby its no trip And when your shifts over we can be done Or we can pretend you a sleaze no tease You can check out anytime you like But you can never leave the need to please Sexy sexy enjoy wont you let me enjoy X3 VERSE 3 I can see your lips a smilin but its not the ones above If I enter in ya would you start preachin that its love You're topless oh lord your bottom is too Kinda crazy what I wanna do to you but OOH ooh wee Baby do me give to me please let me enjoy Sexy sexy enjoy wont you let me enjoy X3 VERSE 4 Its not a fantasy so so real Comin uncontrollably Sexy individual baby lets get physical Play with you you are my toy I want to enjoy","Tech_N9ne","Enjoy","Tech_N9ne:Killer_(2008)","Underground Hip Hop","2008"
"77",76,"And now a word from our sponsor Do you have a problem bringing the freak out of your girl Is sex with her so boring that you think of other women during Well all your bedroom problems can be solved With the new freak extraction technique Just call area code 6688846993 To order the freak extraction technique All procedures performed by the Sexorcist Can I suck your tongue I can hardly wait to taste you Can I suck your tongue Please don't make me wait to recreate you Can I suck your tongue Let me be the one to please ya I need your tongue The sexorcism's done baby don't turn me away I want to taste your tongue tongue tongue Tongue tongue tongue Your tongue tongue tongue Tongue tongue tongue Come close to me can I touch you there You're right here where you're supposed to be And hopefully we can spend the night And give me what you owe to me Been eying you for quite a while and now I want some Go down on you but now I think it's time you owe me one Things we can do baby I know we'll have a lot of fun Now that we're close I wanna taste your tongue tongue tongue I'm here to get it up out ya The Sexorcist that bring that freak out when I mouth to mouth ya And yes it will arouse ya I' feelin' a bit of nostalgia 'Cause I'm thinkin' about about my past procedures In and up out of my trousers Stick your tongue out What Stick your tongue out I guarantee the minute you let me baby girl you'll be strung out I promise your panties they'll need to be hung out But first before I begin this freak extraction technique spit your gum out And let me show you how I can do the cleezy It's so easy how I get beezy's to appease me Throw in a ice breaker then let my eyes face her Then wrap my lips around her tongue and viola I taste her On your ecstasy trip you wanna get next to these lips You wanna continue on it's best to be stripped And don't you worry I'm a master For this you won't need no pastor Before I begin there's somethin' I have to ask ya Can I Suck your tongue I can hardly wait to taste you Can I suck Your tongue Please don't make me wait to recreate you Can I suck your tongue Let me be the one to please ya I need your tongue The sexorcism's done baby don't turn me away I want to taste your tongue tongue tongue Tongue tongue tongue Your tongue tongue tongue Tongue tongue tongue The Sexorcist satisfaction guaranteed Call now at 6688846993 for the freak extraction technique Freak extraction technique performed only be Sexorcist Do not try this at home or at least without the Sexorcist Extraction may result in salivating throdden loins And uncontrollable urge to say the number nine And women attempting to go ass to mouth Use only as directed Big Krizz Kaliko now included","Tech_N9ne","The Sexorcist (Infomercial)","Tech_N9ne:Killer_(2008)","Underground Hip Hop","2008"
"78",77,"Welcome to the sextion where it's all about sex If horny is what you're looking for Well this is the place The sextion Now for your listenting pleasure this is Tech N9ne Skatterman and Kirzz Kaliko With Seven words How many words 1 2 3 4 5 6 7 It's seven words I wanna say to you Love it when you suck my dick Its the best thing in my world It's seven words I wanna say to you Love it when you suck my dick That's why i'm giving you seven words VERSE 1 Tech N9ne You should look at this as a wonderful endeavour The pleasureof having a bitch go below the belt for treasure No pressure I know you shine I ain't trying to stress ya Can I undress ya and get ya to swallow each and every measure Damn you put the whore in hormones I might just bust before long Let's take a pic in your phone of you taking more and more dome Do it but dont pinch me don't chew it when you think me Get fluid then you sink me cuz you got to it just like pinky I really love it when you Put the hot water in your mouth Slurpin and slobberin about Now it gets hotter in the south Yup the water was blazin it was amazin' And now my dick is shriveled up like a raisin You love my leg in thrid cuz I'm blessed with heaven's curve And I equal the thrill and rush of havin sex on ex and herb Never get the lesson blurred I'd like to rest in her But not before I issue baby doll my seven words VERSE 2 Skatterman For the sake of argument lets say we call her o girl She had the type of lips to make this street nigga's toes curl It's her world all I do is kick back just sit back She let my zipper down and pulled the head out and licked that she licked that Sometimes I had to fight to get my dick back But baby moved to Minnesota swear to god I miss that The way she used to grab and smack herself all in the face with it Lookin at me dead in my eyes while she be tastin' it tastin' it She used to say daddy you wastin' it wastin' it I used to say baby I'm facin' it But fuck the hot water shit she used that crushed ice crushed ice If she suck your dick once she make your nut twice nut twice She was just that good I could sell her for a stack to my boys in the hood So if you got you one of these keep them fakin bitches to the curb Leave this on her voicemail all you need is seven words Krizz Kaliko Now as she sucks my soul I lick her funky emotions Piercin all the way into her mind so I can feel what she's thinkin feel me I know you do We're getting closer and closer eruption is imminent climax is closin in on us If you don't get your hands on me soon I might disappear Cuz what I been waiting on the best thing you ever heard The one two three four five six seven words Tech N9ne Girl Techmmmmyou know what I want you to do right GirlYeah I know what you want me to do TechWhat's up GirlDo you want it with hot water TechWhat's that GirlYou mean to tell me freaky ass Tech N9ne never had it with no hot water TechNoShow me GirlHold up a second TechWhat the fuck GirlAnd then you do it like that TechOk go aheadgasp shit fuck that's wonderful GirlThat's what I thought","Tech_N9ne","Seven Words","Tech_N9ne:Killer_(2008)","Underground Hip Hop","2008"
"79",78,"Tech N9ne To whom it may concern Chorus Why you ain't call me You know I'm the hardest you know that my art is applauded Why you ain't call me I'm not brokenhearted but I couldv'e been old when I started Why you ain't call me You know I'm the hardest you know that my art is applauded Why you ain't call me You sleep on my music and that's a damn shame 'cause I slam my bang Verse 1 I've been inside every hiphop circle you could imagine Gangster or Pop even backpackers know that I'm real good at rappin' I was strugglin' back in the day when my hood was lackin' yo so I'm 'bout to talk about what shoulda woulda and coulda happened If music was about inovatin' and penetratin' generations by generatin' musical intergration It wouldn't be about limitation and demonstration imitation within a blatant looks just disentigratin' It ain't about the music it's just about the fame If you ain't popular homie then you just out the game If video and radio don't frequently announce your name They don't know your music even though you blow most out the frame But a closed mouth don't get fed when it stays shut Lay cuts with Tecca Nina 'cause he can straight bust Say what You ain't heard of me gettin' paid bucks Torrent y'all see me rippin' the stage up Chorus Verse 2 I've been on tour with Hov 'bout 27 shows Why he ain't have me on a record only heaven knows Maybe he missed us missin' the big picture that this is a fixture aw yeah he got Twista Well Twista's my homie and we both from the Midwest and I guess Hov ain't lookin' for another speedy rapper kid yet Me collaboratin' with them was all in me dreams Matter fact the only one of 'em called me was Beens He told me he played you The Industry Is Punks and you loved it so you know Tech is what the industry would want I started down at the bottom got with TOG and then it payed but I wouldv'e loved to been on the third verse of Renegade They must think I'm a stick of dynamite with no stem That's probably why I got D12 but no Em But I burst flame and I bet that y'all know my first name 'cause I'm the hardest this side of Earth mane Chorus Verse 3 This ain't no hatemail this a love letter I love you niggas' music and I hope is does better I just wish you woulda hit a brother that love cheddar but I'm ballin' now and I'm better than I was EVER Space age flows like Jesse and Primrose Tinfold I used to openup now I end shows Grim road when you one of the best with slim dough and you ain't got Dre Storch Pharrell and no Timbo I've met almost half of the DTP but the couple times I spoke to Luda don't think he see me Had never met I20 but he spoke at BET Shawnna love me Field Mob and Chingy decently speak me So I'ma reinaurate the game it's all fame and you don't get no play if you an emcee with a small name If I wanna get on TV I guess I gotta call Pain and Nelly my greatgrandmother's name is Maud Haynes Hook Maybe I'm trippin' full of delusion Maybe it come from all the drugs I was usin' Maybe I am the best thing that you ever saw Maybe I'm wrong and you don't know me at all I guess I'm blinded I got reminded that none of you just will ever know who the N9ne is and you never heard of the homie from the Showme PUNK THAT I know you niggas know me Chorus x2","Tech_N9ne","Why You Ain't Call Me","Tech_N9ne:Killer_(2008)","Underground Hip Hop","2008"
"80",79,"Ee Ah Oh Ah Ah That means I love you if you got dollas Yes ain't no stoppin' there Let's go let's go if you talkin' like a player Lets go If your sittin' at home talking to him on the phone And he aint call without a style of his own You wishin' that you was gone throwin back a Patron whats wrong You ain't wrong cause youd rather be with me in the zone Lets go Sorry your lady has been taken You can find yourself in the mall with the flo' shakin' And I ain't even the one thats bringin' her home the bacon You the one been talking bout kickin' my face in Lets go You can do whateva you go to My rebel persona that got me dressin' red as I wanna I had her you're stronger The problem is you're dead as a coma You sickin' me but Im right here to put the medicine on ya Lets go Got 'em all frightened up and tightened You might be too late to get fights in with the bison It's always 'citing my ben's real gelrighfin I ruined your life when i produced a license Lets go Coming through the do' hella fast never slow got the cash and the pedal to the flo' Lets go' If you wanna ride let me know We can slide on the low Whatcha standin there fo' Lets go You can hate cause Im dippin' witcha mate Out the gate lets roll lets bounce lets skate Lets go To the room lets go to the left Lets go Your boyfriend aint talkin' 'bout shit Post it up squat low like a pig And know this patrol chasing whole motion nigga shit And i ain't gotta decide to proceed without a grip So we can just do it movin' if it's all on the bed Let's go They likin' the skinny jeans and tha kicks And Judy Wells But I ain't in the please and the trick I'm in the top With porche's and keys to a set So sit back and let the engine breathe a lil bit Let's Go But I'm highly in the hoochie holla areo Money all the beezy's got it from my uncle Larryo Superstar to me when I'm playin' on your radio Addicted to Regina when she ain't a robbin' areo Let's go Cut cutty cowoonie's best senario Kansas City to Oak My folks like Big Mac's dareo Tell 'em it's raining game He's soakin' up every drank Gonna give you a party for the marryo DAMN Lets go Coming through the dough hella fast never slow got the cash and the pedal to the flo' Lets go If you wanna ride let me know We can slide on the low Whatcha standin there fo Lets go You can hate cause Im dippin witcha mate Out the gate lets roll lets bounce lets skate Lets go To the room lets go to the left Lets go Your boyfriend aint talkin' bout shit Get down gotta get down girl Is you ready to roll Well shit lets go Hit that KCM straight to the O I got that joke sip that err What we call it fo I hit that err that got that urge to knockin' on yo do Get in this car Im a star you aint noticed yet Look at these shoes Look at these jewels shinin' on my neck I spit that denim then I send em in the remover denim And once I get 'em then I bend 'em and I cant remember 'em I stay persistent and consistent when it comes to pimpin Your hoe gets sentenced from a sentance when it comes to repentance I go the distance when I hit your butt like I'm the midget Position touch it position ship it like I ain't in it The arms are touchin' we gonna hit that I'm suckin' and bustin' I'm tryna hit her tat She said her dude rang But really he's too lame Battlin' Tech N9NE you know that we are too strange Coming through the dough hella fast never slow got the cash and the peddle to the flo' Let's go If you want a ride let me know We can slide on the low Whatcha standin' there fo Let's go You can hate cuz I'm dippin' witcha mate Out the gate let's roll let's bounce let's skate Let's go To the room let's go to the left Let's go your boyfriend ain't talkin' 'bout shit Let's go","Tech_N9ne","Let's Go","Tech_N9ne:Killer_(2008)","Underground Hip Hop","2008"
