track_name,track_id,date
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-05-12
Viva La Vida,7fcgisGFCr4mfbfNSztr84,2019-05-12
So Am I,0uUNN1nSoUx1A4fkDCWDQ7,2019-05-12
Nevermind,63SevszngYpZOwf63o61K4,2019-05-12
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,2019-05-12
New Rules,4LihUZcWy0B6lGLqcJ8u9B,2019-05-12
Speaker (feat. Olivia Holt & ZieZie),6QuMW8fEXeSqmD0R9ihCJX,2019-05-12
I'm Yours,1EzrEOXmMH3G43AXT1y7pA,2019-05-12
Shotgun,4ofwffwvvnbSkrMSCKQDaC,2019-05-12
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,2019-05-12
Riptide,7yq4Qj7cqayVTp3FF9CWbm,2019-05-12
Stay Young,7wjprvfscpUNacftNovfQO,2019-05-12
Rewrite The Stars (with James Arthur & Anne-Marie),78nplE9X2ZGvQh3TKgvldE,2019-05-12
Bones (feat. OneRepublic),1pfgsjmxVZhoZpeDx6POKv,2019-05-12
Follow Me,4KoecuyOpZaNFZ0UqVsllc,2019-05-12
Every Morning,2ouURa1AIXp3AvkS52Jry5,2019-05-12
No One,5cHxiejMwH4wLYJAQGQ3Vs,2019-05-12
Valerie (feat. Amy Winehouse) - Version Revisited,631U6DaszJisq3TiaQ0vTM,2019-05-12
High Hopes,2djdCbLj1pzRmrDNe7PkW2,2019-05-12
Shape of You,7qiZfU4dY1lWllzX7mPBI3,2019-05-12
Orange Trees,5KgjRZKraoTkHAUONmVFo1,2019-05-12
Fascination,1A5NvsXUXc4MrXfOEojQ6p,2019-05-12
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,2019-05-12
Only Want You (feat. 6LACK),1fPYcrgm9wODvukYw46vcg,2019-05-12
Perfect To Me,0DC7Zs2qvAbNK1owWQ4mlL,2019-05-12
Everywhere - 2017 Remaster,254bXAqt3zP6P50BdQvEsq,2019-05-12
You Can Call Me Al,0qxYx4F3vm1AOnfux6dDxP,2019-05-12
Respect,5AoTuHE5P5bvC7BBppYnja,2019-05-12
