track_name,track_id,date
Fast Car (feat. Tall Heights),79ms40oOzof3LMyrrXDXtJ,2019-05-12
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",4LloVtxNZpeh7q7xdi1DQc,2019-05-12
"Take Me Home, Country Roads",2UJ9eh4cex6ulccBrskJXd,2019-05-12
Stay With Me - Live From Spotify Berlin,6itWAD2WxmAVQgWuk85yXx,2019-05-12
Every Breath You Take (feat. Liza Anne),65YDMuJmyF8cxTrk4Xogy0,2019-05-12
"I'm Not the Only One (Sam Smith Cover) - Live from Spotify, London",7wIYDzWW82O6Rc4vGuzjND,2019-05-12
Candle In The Wind - 2018 Version,73TXMz1i41sGfOuDg8gH4L,2019-05-12
Dancing in the Dark,0aLBrgdmfl1DADg3ZO6y0N,2019-05-12
Blank Space/Stand By Me - Live From Spotify London,3Dbgo1HE3DErIBNDIO4Hyd,2019-05-12
Take Me To Church (Acoustic Cover) feat. Matt Wright,2iNnrc56yZP4jBBLkPc5bx,2019-05-12
Halo,5mVDhLnXTHlBWJnMHXa9Qs,2019-05-12
Can’t Help Falling in Love,7uuEfUMuPeQ7RlSWa0cES2,2019-05-12
Mr. Brightside,4hh1aGOyYlqVEeHWTghR6v,2019-05-12
Time After Time,5kOBEsqVNwi4udPRbagNIV,2019-05-12
Come As You Are,2BPmo2L5bYVS5SmpOTcfyF,2019-05-12
Summertime Sadness (Acoustic Cover) Feat. Keelan Donovan,6TqDrmjUDqQo4JiF1apQnL,2019-05-12
Stolen Dance,6tXrb9kJTmgGOZqpq1powO,2019-05-12
Eternal Flame,7kqlAbUuU1v9w5LN1nOO2q,2019-05-12
I Was Made for Loving You / Please Don't Say You Love Me,2pueVOwR0Fp60lssWsr3lT,2019-05-12
Dreams - Piano Version,1HrVc40jQbDRWIB9KreDti,2019-05-12
Little Talks,1ulDt6ySVbMbzZCBO6hSfb,2019-05-12
High Hopes,3z5V7oSggDeCPeEGiCIu83,2019-05-12
Rather Be,0osBWMCpbGSGj5FVDzCTvy,2019-05-12
Send My Love (To Your New Lover) - Live,0dGjfWSQNYuF7e6dYv9yrs,2019-05-12
Crazy - Radio 1 Live Lounge Session,0Zc71YCZdGl933InVbjEbn,2019-05-12
Cherry Wine,3EJaUuGn4gtGa7u0vswTGv,2019-05-12
Drag Me Down/As Long As You Love Me,7B0hVrD5iwkiQhHSjUjSrz,2019-05-12
Wildflowers,1VJ4tttfxHq0Eu5x2nTCvx,2019-05-12
Don't You Want Me,6gREYnl1rgTBE06YIDZheT,2019-05-12
Set Fire To The Rain,5foLNCCWHMFXIzgtuOVEis,2019-05-12
Jolene - Live,1z5caKH6SJoofqTGVy17HY,2019-05-12
Home/Dirty Paws,24rFwAcC6eqPvyMuPynVGH,2019-05-12
Better Together,6KzL8s8GdRbd5Mal8yLz6R,2019-05-12
Riptide,1WbYFNSUNn9fP1x0Z5DU95,2019-05-12
We Can't Stop (feat. Bea Miller),2PVU8zHILp6jK4Q7W6rkz8,2019-05-12
Perfect Places - Live From BBC Radio 2,2hUyNUvpSlNBmYKCUNCLu5,2019-05-12
K.,6vG1pcmNGdG6Vu62I9nLGL,2019-05-12
Billie Jean,4zzi2eD2cEPpQ3a307mPPj,2019-05-12
"See You Again, Love Me Like You Do, Sugar - Acoustic Mashup",29Ns3avs48iQhNQgrHMEkm,2019-05-12
Shallow,4q0v24VXobXe0kTLb46Xa9,2019-05-12
Crazy in Love,6m0qBDIhzICOwWMPZdgyVK,2019-05-12
California,4KUFJ7phSi40lh1ChmFgb9,2019-05-12
Eventually,7JAnAvHXbXSTRnEPKu0Jkg,2019-05-12
When Doves Cry - Recorded At Spotify Studios NYC,4LLTqpc4ywNrx89seBQi3w,2019-05-12
Sorry,21Cr9ZzBDHF7QxDS8kE5Lx,2019-05-12
I Believe in a Thing Called Love,6mEeutpoC30B6yALroRlFW,2019-05-12
My Love / Hotline Bling,304Fl0f56eyOYyFum3TN9X,2019-05-12
I Like Me Better,2GzvzxXnyJ9l3obE4JskC2,2019-05-12
Chains,1C4Ce6dvKNAkoWVZQ8s5VJ,2019-05-12
Love Will Tear Us Apart,4z7LkcJsYe8AaZXI3TWOHT,2019-05-12
Titanium,7vEX2DuGfeyH2RRV3XZdHJ,2019-05-12
Ordinary World,1Rzv9hwuNO1H7N947tD1e8,2019-05-12
Chandelier,7AKebOEDMEZWMqBl4bKoYu,2019-05-12
Let It Go,6r8OnTtDrhKBIIYgzxrnZ1,2019-05-12
Linger,3rcVJVqhuuKbVppaLXrxD5,2019-05-12
Youngblood,4WTBFVYpbupeihjkQY1N43,2019-05-12
Lost in the Light,0bgqXYJld8cSkAW72VfVDM,2019-05-12
What I Am - Recorded at Spotify Studios NYC,1b5Cgfs0La5peeZ7Sw7y6y,2019-05-12
Still Got Time / There's Nothing Holdin' Me Back,4doLaFDzKbLE6RvMapEpuY,2019-05-12
I Can't Make You Love Me,0hL7pMYm3WQhoywLYFdF3t,2019-05-12
XO,0oa6d6Nz5BmP7jquxEoyMm,2019-05-12
Despacito,4vxA3aI7l73i0Hi819OQhH,2019-05-12
Wrecking Ball,5uU7wxiO0xHunapJ4wXG2W,2019-05-12
Black Beatles - Acoustic,7tOwlsbz3lmbEjxmury4qZ,2019-05-12
Hello,5mCLi8QdP2d9EoSIEoO8jX,2019-05-12
Seven Nation Army,7fBRH08A6Fu47GMyFamyoO,2019-05-12
Strangers,1ndN2xj0c486fDmilERzSg,2019-05-12
U Remind Me - Recorded at Spotify Studios NYC,22wMOOsQVIKkoVAILL5ruw,2019-05-12
September - Recorded at The Tracking Room Nashville,5eGX87IiKsGuzS3iw4CfCX,2019-05-12
Let Me Love You - Recorded at Spotify Studios NYC,1Ue0oCRGIs4ARyg3ucMmRJ,2019-05-12
"Love Yourself, Out of the Woods, Roses - Acoustic Mashup",1rNuKbtlRfq7DBeLBSzrmz,2019-05-12
American Oxygen,6r64PMqq9VxnT0Xr3439uH,2019-05-12
Boom Clap,3j0oJtPonSYt9f5jHVLb91,2019-05-12
Sex On Fire,1ZXSLHLp5AJnCp12UXdYiO,2019-05-12
Stitches,3Jy394MtpM2xciRBTzxBlg,2019-05-12
Teenage Dirtbag,6nWh37Xjbph0Zr0dTJGZ2p,2019-05-12
Can't Stop the Feeling / This Is What You Came For,5xcsnZOeoLJkgFz3uVNc7h,2019-05-12
7 Years,2KKsKMLBt0b6ophWUp91ba,2019-05-12
Cold Water,4esmMZzUcSw6cgd8WbSOgi,2019-05-12
"I Took a Pill in Ibiza, Youth (Acoustic Mashup) [feat. Taylor Leigh]",1LqLiOS2pby65qbMpvKdUh,2019-05-12
Fix You,3ZTCvMqkW3Hqxap4dqTTpR,2019-05-12
Want to Want Me - Acoustic Cover,5DK6YlsH7zI54P6bi2NYvS,2019-05-12
"Wicked Game - Live At Killkenny Arts Festival, Ireland/2011",5Lbi5aI8aLOGjO7A8vhbUv,2019-05-12
City of Stars,0KQnOjW6AP1LECHd18xjFj,2019-05-12
Ho Hey,2BwRvOaG8JdpX3F5LqiLHo,2019-05-12
Hey Ya - solo version,6QeLUyIfNHCJhEMSPGwDgi,2019-05-12
Maps,7ED8yT6oWUoq5WVIfaka4e,2019-05-12
Fancy,5Kn5jBrNiTF1V5woyKOfkt,2019-05-12
Girls Just Wanna Have Fun - Acoustic,7rohDMzsbmSmol7sIZs0Px,2019-05-12
What Do You Mean / Where Are Ü Now (Acoustic Mashup) [feat. Kaya May],2p0SmPbFXRfJAU9EYqaNX4,2019-05-12
Stayin Out All Night/Habits (Acoustic Mashup),2rW0rwAgf7i7i8mOsmCip4,2019-05-12
Why Georgia (RAWsession) [in the style of John Mayer] - Single,2rraSZfmRIIU5na1OH7L0q,2019-05-12
